"State","Sector","Fuel","Year","Value"
"Alabama","Residential","Coal",1980,0.1
"Alabama","Residential","Petroleum Products",1980,0.6
"Alabama","Residential","Natural Gas",1980,2.9
"Alabama","Residential","Total",1980,3.6
"Alabama","Commercial","Coal",1980,0.4
"Alabama","Commercial","Petroleum Products",1980,0.6
"Alabama","Commercial","Natural Gas",1980,1.6
"Alabama","Commercial","Total",1980,2.6
"Alabama","Industry","Coal",1980,17.1
"Alabama","Industry","Petroleum Products",1980,5.3
"Alabama","Industry","Natural Gas",1980,9.3
"Alabama","Industry","Total",1980,31.8
"Alabama","Transport","Coal",1980,0
"Alabama","Transport","Petroleum Products",1980,23.9
"Alabama","Transport","Natural Gas",1980,0.9
"Alabama","Transport","Total",1980,24.8
"Alabama","Electricity","Coal",1980,43.9
"Alabama","Electricity","Petroleum Products",1980,0.1
"Alabama","Electricity","Natural Gas",1980,0.1
"Alabama","Electricity","Total",1980,44.1
"Alabama","Residential","Coal",1981,0
"Alabama","Residential","Petroleum Products",1981,0.6
"Alabama","Residential","Natural Gas",1981,2.8
"Alabama","Residential","Total",1981,3.4
"Alabama","Commercial","Coal",1981,0.2
"Alabama","Commercial","Petroleum Products",1981,0.8
"Alabama","Commercial","Natural Gas",1981,1.5
"Alabama","Commercial","Total",1981,2.4
"Alabama","Industry","Coal",1981,14.7
"Alabama","Industry","Petroleum Products",1981,5
"Alabama","Industry","Natural Gas",1981,9.6
"Alabama","Industry","Total",1981,29.3
"Alabama","Transport","Coal",1981,0
"Alabama","Transport","Petroleum Products",1981,23.2
"Alabama","Transport","Natural Gas",1981,1
"Alabama","Transport","Total",1981,24.2
"Alabama","Electricity","Coal",1981,43.9
"Alabama","Electricity","Petroleum Products",1981,0
"Alabama","Electricity","Natural Gas",1981,0.1
"Alabama","Electricity","Total",1981,44.1
"Alabama","Residential","Coal",1982,0
"Alabama","Residential","Petroleum Products",1982,0.7
"Alabama","Residential","Natural Gas",1982,2.6
"Alabama","Residential","Total",1982,3.4
"Alabama","Commercial","Coal",1982,0.2
"Alabama","Commercial","Petroleum Products",1982,0.6
"Alabama","Commercial","Natural Gas",1982,1.4
"Alabama","Commercial","Total",1982,2.3
"Alabama","Industry","Coal",1982,12.3
"Alabama","Industry","Petroleum Products",1982,5.5
"Alabama","Industry","Natural Gas",1982,8.4
"Alabama","Industry","Total",1982,26.2
"Alabama","Transport","Coal",1982,0
"Alabama","Transport","Petroleum Products",1982,22.7
"Alabama","Transport","Natural Gas",1982,0.9
"Alabama","Transport","Total",1982,23.5
"Alabama","Electricity","Coal",1982,35.2
"Alabama","Electricity","Petroleum Products",1982,0
"Alabama","Electricity","Natural Gas",1982,0.1
"Alabama","Electricity","Total",1982,35.3
"Alabama","Residential","Coal",1983,0
"Alabama","Residential","Petroleum Products",1983,0.8
"Alabama","Residential","Natural Gas",1983,2.7
"Alabama","Residential","Total",1983,3.5
"Alabama","Commercial","Coal",1983,0.3
"Alabama","Commercial","Petroleum Products",1983,0.8
"Alabama","Commercial","Natural Gas",1983,1.5
"Alabama","Commercial","Total",1983,2.5
"Alabama","Industry","Coal",1983,10.9
"Alabama","Industry","Petroleum Products",1983,3.8
"Alabama","Industry","Natural Gas",1983,7.3
"Alabama","Industry","Total",1983,22
"Alabama","Transport","Coal",1983,0
"Alabama","Transport","Petroleum Products",1983,22.2
"Alabama","Transport","Natural Gas",1983,0.7
"Alabama","Transport","Total",1983,22.9
"Alabama","Electricity","Coal",1983,38.7
"Alabama","Electricity","Petroleum Products",1983,0.1
"Alabama","Electricity","Natural Gas",1983,0
"Alabama","Electricity","Total",1983,38.8
"Alabama","Residential","Coal",1984,0.1
"Alabama","Residential","Petroleum Products",1984,0.5
"Alabama","Residential","Natural Gas",1984,2.8
"Alabama","Residential","Total",1984,3.3
"Alabama","Commercial","Coal",1984,0.3
"Alabama","Commercial","Petroleum Products",1984,0.6
"Alabama","Commercial","Natural Gas",1984,1.5
"Alabama","Commercial","Total",1984,2.3
"Alabama","Industry","Coal",1984,14.1
"Alabama","Industry","Petroleum Products",1984,3.6
"Alabama","Industry","Natural Gas",1984,7.7
"Alabama","Industry","Total",1984,25.5
"Alabama","Transport","Coal",1984,0
"Alabama","Transport","Petroleum Products",1984,23.1
"Alabama","Transport","Natural Gas",1984,0.7
"Alabama","Transport","Total",1984,23.8
"Alabama","Electricity","Coal",1984,40.2
"Alabama","Electricity","Petroleum Products",1984,0
"Alabama","Electricity","Natural Gas",1984,0
"Alabama","Electricity","Total",1984,40.3
"Alabama","Residential","Coal",1985,0.1
"Alabama","Residential","Petroleum Products",1985,0.5
"Alabama","Residential","Natural Gas",1985,2.4
"Alabama","Residential","Total",1985,2.9
"Alabama","Commercial","Coal",1985,0.2
"Alabama","Commercial","Petroleum Products",1985,0.9
"Alabama","Commercial","Natural Gas",1985,1.4
"Alabama","Commercial","Total",1985,2.5
"Alabama","Industry","Coal",1985,13
"Alabama","Industry","Petroleum Products",1985,2.9
"Alabama","Industry","Natural Gas",1985,7.6
"Alabama","Industry","Total",1985,23.5
"Alabama","Transport","Coal",1985,0
"Alabama","Transport","Petroleum Products",1985,22.9
"Alabama","Transport","Natural Gas",1985,0.6
"Alabama","Transport","Total",1985,23.5
"Alabama","Electricity","Coal",1985,48.8
"Alabama","Electricity","Petroleum Products",1985,0
"Alabama","Electricity","Natural Gas",1985,0.1
"Alabama","Electricity","Total",1985,48.9
"Alabama","Residential","Coal",1986,0.1
"Alabama","Residential","Petroleum Products",1986,0.5
"Alabama","Residential","Natural Gas",1986,2.5
"Alabama","Residential","Total",1986,3
"Alabama","Commercial","Coal",1986,0.2
"Alabama","Commercial","Petroleum Products",1986,0.9
"Alabama","Commercial","Natural Gas",1986,1.4
"Alabama","Commercial","Total",1986,2.5
"Alabama","Industry","Coal",1986,12.6
"Alabama","Industry","Petroleum Products",1986,3.1
"Alabama","Industry","Natural Gas",1986,6.7
"Alabama","Industry","Total",1986,22.4
"Alabama","Transport","Coal",1986,0
"Alabama","Transport","Petroleum Products",1986,23.9
"Alabama","Transport","Natural Gas",1986,0.5
"Alabama","Transport","Total",1986,24.5
"Alabama","Electricity","Coal",1986,49.1
"Alabama","Electricity","Petroleum Products",1986,0
"Alabama","Electricity","Natural Gas",1986,0.1
"Alabama","Electricity","Total",1986,49.1
"Alabama","Residential","Coal",1987,0.1
"Alabama","Residential","Petroleum Products",1987,0.6
"Alabama","Residential","Natural Gas",1987,2.7
"Alabama","Residential","Total",1987,3.4
"Alabama","Commercial","Coal",1987,0.2
"Alabama","Commercial","Petroleum Products",1987,0.8
"Alabama","Commercial","Natural Gas",1987,1.2
"Alabama","Commercial","Total",1987,2.3
"Alabama","Industry","Coal",1987,13.9
"Alabama","Industry","Petroleum Products",1987,3.5
"Alabama","Industry","Natural Gas",1987,6.7
"Alabama","Industry","Total",1987,24.1
"Alabama","Transport","Coal",1987,0
"Alabama","Transport","Petroleum Products",1987,25.3
"Alabama","Transport","Natural Gas",1987,0.6
"Alabama","Transport","Total",1987,26
"Alabama","Electricity","Coal",1987,47.7
"Alabama","Electricity","Petroleum Products",1987,0
"Alabama","Electricity","Natural Gas",1987,0.1
"Alabama","Electricity","Total",1987,47.8
"Alabama","Residential","Coal",1988,0.1
"Alabama","Residential","Petroleum Products",1988,0.6
"Alabama","Residential","Natural Gas",1988,2.7
"Alabama","Residential","Total",1988,3.4
"Alabama","Commercial","Coal",1988,0.3
"Alabama","Commercial","Petroleum Products",1988,1
"Alabama","Commercial","Natural Gas",1988,1.4
"Alabama","Commercial","Total",1988,2.6
"Alabama","Industry","Coal",1988,15.1
"Alabama","Industry","Petroleum Products",1988,3.5
"Alabama","Industry","Natural Gas",1988,8
"Alabama","Industry","Total",1988,26.6
"Alabama","Transport","Coal",1988,0
"Alabama","Transport","Petroleum Products",1988,25.7
"Alabama","Transport","Natural Gas",1988,0.7
"Alabama","Transport","Total",1988,26.3
"Alabama","Electricity","Coal",1988,45.8
"Alabama","Electricity","Petroleum Products",1988,0.1
"Alabama","Electricity","Natural Gas",1988,0.1
"Alabama","Electricity","Total",1988,46
"Alabama","Residential","Coal",1989,0
"Alabama","Residential","Petroleum Products",1989,0.7
"Alabama","Residential","Natural Gas",1989,2.6
"Alabama","Residential","Total",1989,3.3
"Alabama","Commercial","Coal",1989,0.1
"Alabama","Commercial","Petroleum Products",1989,0.9
"Alabama","Commercial","Natural Gas",1989,1.4
"Alabama","Commercial","Total",1989,2.5
"Alabama","Industry","Coal",1989,13.6
"Alabama","Industry","Petroleum Products",1989,3.3
"Alabama","Industry","Natural Gas",1989,8.5
"Alabama","Industry","Total",1989,25.4
"Alabama","Transport","Coal",1989,0
"Alabama","Transport","Petroleum Products",1989,27.5
"Alabama","Transport","Natural Gas",1989,0.7
"Alabama","Transport","Total",1989,28.3
"Alabama","Electricity","Coal",1989,50.3
"Alabama","Electricity","Petroleum Products",1989,0.1
"Alabama","Electricity","Natural Gas",1989,0.2
"Alabama","Electricity","Total",1989,50.6
"Alabama","Residential","Coal",1990,0
"Alabama","Residential","Petroleum Products",1990,0.6
"Alabama","Residential","Natural Gas",1990,2.5
"Alabama","Residential","Total",1990,3.1
"Alabama","Commercial","Coal",1990,0.2
"Alabama","Commercial","Petroleum Products",1990,0.9
"Alabama","Commercial","Natural Gas",1990,1.3
"Alabama","Commercial","Total",1990,2.4
"Alabama","Industry","Coal",1990,13.5
"Alabama","Industry","Petroleum Products",1990,3.5
"Alabama","Industry","Natural Gas",1990,8.5
"Alabama","Industry","Total",1990,25.5
"Alabama","Transport","Coal",1990,0
"Alabama","Transport","Petroleum Products",1990,27.2
"Alabama","Transport","Natural Gas",1990,0.8
"Alabama","Transport","Total",1990,28
"Alabama","Electricity","Coal",1990,50.5
"Alabama","Electricity","Petroleum Products",1990,0.1
"Alabama","Electricity","Natural Gas",1990,0.3
"Alabama","Electricity","Total",1990,50.9
"Alabama","Residential","Coal",1991,0
"Alabama","Residential","Petroleum Products",1991,0.5
"Alabama","Residential","Natural Gas",1991,2.5
"Alabama","Residential","Total",1991,3
"Alabama","Commercial","Coal",1991,0
"Alabama","Commercial","Petroleum Products",1991,0.7
"Alabama","Commercial","Natural Gas",1991,1.3
"Alabama","Commercial","Total",1991,2
"Alabama","Industry","Coal",1991,13.7
"Alabama","Industry","Petroleum Products",1991,3.1
"Alabama","Industry","Natural Gas",1991,8.9
"Alabama","Industry","Total",1991,25.7
"Alabama","Transport","Coal",1991,0
"Alabama","Transport","Petroleum Products",1991,27.7
"Alabama","Transport","Natural Gas",1991,0.9
"Alabama","Transport","Total",1991,28.6
"Alabama","Electricity","Coal",1991,54.5
"Alabama","Electricity","Petroleum Products",1991,0.1
"Alabama","Electricity","Natural Gas",1991,0.3
"Alabama","Electricity","Total",1991,54.8
"Alabama","Residential","Coal",1992,0
"Alabama","Residential","Petroleum Products",1992,0.5
"Alabama","Residential","Natural Gas",1992,2.7
"Alabama","Residential","Total",1992,3.2
"Alabama","Commercial","Coal",1992,0.2
"Alabama","Commercial","Petroleum Products",1992,0.6
"Alabama","Commercial","Natural Gas",1992,1.4
"Alabama","Commercial","Total",1992,2.1
"Alabama","Industry","Coal",1992,15.5
"Alabama","Industry","Petroleum Products",1992,3.3
"Alabama","Industry","Natural Gas",1992,9.9
"Alabama","Industry","Total",1992,28.7
"Alabama","Transport","Coal",1992,0
"Alabama","Transport","Petroleum Products",1992,28.3
"Alabama","Transport","Natural Gas",1992,1
"Alabama","Transport","Total",1992,29.3
"Alabama","Electricity","Coal",1992,57.3
"Alabama","Electricity","Petroleum Products",1992,0.1
"Alabama","Electricity","Natural Gas",1992,0.3
"Alabama","Electricity","Total",1992,57.6
"Alabama","Residential","Coal",1993,0
"Alabama","Residential","Petroleum Products",1993,0.6
"Alabama","Residential","Natural Gas",1993,2.8
"Alabama","Residential","Total",1993,3.4
"Alabama","Commercial","Coal",1993,0.1
"Alabama","Commercial","Petroleum Products",1993,0.6
"Alabama","Commercial","Natural Gas",1993,1.4
"Alabama","Commercial","Total",1993,2
"Alabama","Industry","Coal",1993,13.2
"Alabama","Industry","Petroleum Products",1993,3.5
"Alabama","Industry","Natural Gas",1993,10.6
"Alabama","Industry","Total",1993,27.3
"Alabama","Transport","Coal",1993,0
"Alabama","Transport","Petroleum Products",1993,28.5
"Alabama","Transport","Natural Gas",1993,0.9
"Alabama","Transport","Total",1993,29.4
"Alabama","Electricity","Coal",1993,63.2
"Alabama","Electricity","Petroleum Products",1993,0.1
"Alabama","Electricity","Natural Gas",1993,0.3
"Alabama","Electricity","Total",1993,63.6
"Alabama","Residential","Coal",1994,0
"Alabama","Residential","Petroleum Products",1994,0.6
"Alabama","Residential","Natural Gas",1994,2.7
"Alabama","Residential","Total",1994,3.3
"Alabama","Commercial","Coal",1994,0
"Alabama","Commercial","Petroleum Products",1994,0.6
"Alabama","Commercial","Natural Gas",1994,1.4
"Alabama","Commercial","Total",1994,2.1
"Alabama","Industry","Coal",1994,13.6
"Alabama","Industry","Petroleum Products",1994,4
"Alabama","Industry","Natural Gas",1994,10.6
"Alabama","Industry","Total",1994,28.3
"Alabama","Transport","Coal",1994,0
"Alabama","Transport","Petroleum Products",1994,29.8
"Alabama","Transport","Natural Gas",1994,0.8
"Alabama","Transport","Total",1994,30.6
"Alabama","Electricity","Coal",1994,59.2
"Alabama","Electricity","Petroleum Products",1994,0.1
"Alabama","Electricity","Natural Gas",1994,0.3
