"Year","State","Coal","Oil","Gas","Residential","Commercial","Industry","Transport","Electricity"
1980,"Alabama",61.5,30.5,14.8,3.6,2.6,31.7,24.8,44.1
1980,"Alaska",0.4,9.1,8.1,0.9,1.3,6.7,6.4,2.3
1980,"Arizona",22.9,20.4,9.2,1.7,1.7,5.3,18.5,25.3
1980,"Arkansas",3.4,20,14.5,3.1,2.1,10.8,14.3,7.6
1980,"California",6.1,242.1,100.3,30.4,20.2,65.9,170.9,61.1
1980,"Colorado",23.2,21.7,13,4.9,3.9,10.6,17.7,20.8
1980,"Connecticut",0,37,3.9,7.6,3.1,6.3,13.2,10.7
1980,"Delaware",2.6,13.4,1.7,1.1,2.6,4.2,3.9,5.9
1980,"District of Columbia",0.4,3.5,1.4,1.1,1.2,0.3,1.9,0.8
1980,"Florida",21.1,119.8,17.5,2.3,4.5,19,68.2,64.4
1980,"Georgia",48.8,46.9,17.2,5.9,3.7,16.2,39.1,48
1980,"Hawaii",0,18.2,0,0,0.3,1.9,10.5,5.5
1980,"Idaho",1,7.7,2.7,0.8,0.9,3.9,5.8,0
1980,"Illinois",79,96.5,57.1,27.7,14.9,57.6,57.9,74.5
1980,"Indiana",107.6,50.2,25.7,12,6.4,65,31.4,68.7
1980,"Iowa",21.9,22.8,14.4,6.5,3.4,13.2,16.7,19.3
1980,"Kansas",18,23.9,25.6,5.1,3.4,17.2,19,22.8
1980,"Kentucky",60,32.2,10.8,5.7,4.2,17.8,22.7,52.6
1980,"Louisiana",0.2,104.4,96.3,4.2,9.4,113.7,46.1,27.5
1980,"Maine",0.2,14.3,0,2.9,1.2,2.7,5.9,1.8
1980,"Maryland",21.9,36.9,8.5,7.9,3.5,14.6,22.8,18.5
1980,"Massachusetts",2.1,66.8,8.9,14.6,8.5,4.6,25.3,24.8
1980,"Michigan",70.9,62.5,46.5,26,12.7,41.4,43.8,56
1980,"Minnesota",22.8,33.6,15.2,8.9,4.5,13.3,23.4,21.5
1980,"Mississippi",7,26.3,14.3,2.1,3,9.9,18.1,14.5
1980,"Missouri",49.8,37.4,17.1,9.4,5.3,13.1,29.1,47.4
1980,"Montana",5.6,11.1,3.3,1.4,1,5.8,6.3,5.5
1980,"Nebraska",8.8,13,8.5,3,2.5,5.9,9.9,9
1980,"Nevada",8.7,10.3,3.3,0.9,0.8,1.1,8.3,11.2
1980,"New Hampshire",2.7,9.6,0.4,1.9,0.9,0.9,4.1,4.9
1980,"New Jersey",6.4,88.1,18,17.8,12.8,23.1,40.8,18
1980,"New Mexico",19,13.6,12.3,1.9,1.9,7.1,11.8,22.2
1980,"New York",29.2,155.2,39.8,35.5,28.7,34.5,71.8,53.7
1980,"North Carolina",58.5,45.6,8.2,6.6,3.2,15.7,31.5,55.3
1980,"North Dakota",15.2,8.6,1.2,1.1,1.2,3.1,5.2,14.4
1980,"Ohio",142.5,87.2,44.7,24.1,11.5,77.7,55.8,105.3
1980,"Oklahoma",10,28.2,39.2,4.5,2.9,20.8,21.5,27.7
1980,"Oregon",1.1,22.8,4.3,2,2.2,6.3,17,0.7
1980,"Pennsylvania",152.1,100.5,42,29.5,12.7,88.5,57.7,106.2
1980,"Rhode Island",0,6.9,1.5,2.1,0.8,0.9,3.7,0.9
1980,"South Carolina",23.1,24.6,7.8,2.6,2.2,12.9,17.7,20.1
1980,"South Dakota",3.4,6.8,1.3,1.2,0.7,1.9,4.5,3.2
1980,"Tennessee",54.1,33.9,12.4,3.2,3.6,17.2,28.8,47.6
1980,"Texas",68.7,211.5,214.2,13.7,14.7,195,128.6,142.4
1980,"Utah",15.6,13.6,6.6,3.5,1.4,11,9,10.9
1980,"Vermont",0,4.3,0.2,1.2,0.4,0.5,2.4,0
1980,"Virginia",21.6,52.3,8.4,7,3.6,16.7,34.3,20.7
1980,"Washington",8.6,41.5,7.3,3.4,2.9,13.4,30,7.7
1980,"West Virginia",80.1,15,7.8,3.5,1.7,22.4,10.2,65.1
1980,"Wisconsin",30.7,32.3,18.7,10.9,5.1,16,23.2,26.5
1980,"Wyoming",25.1,11.8,3.8,0.6,0.7,10.8,6.2,22.4
1981,"Alabama",58.8,29.6,15,3.4,2.5,29.3,24.2,44
1981,"Alaska",1.2,9.4,6.5,0.9,1.8,4.8,7.2,2.4
1981,"Arizona",29.9,19.4,10.2,1.6,1.7,6.5,18.7,31
1981,"Arkansas",9.5,19.4,14.1,2.7,1.8,11.6,14.7,12.2
1981,"California",7.2,226.5,103.3,28.1,21.5,58.7,169.3,59.4
1981,"Colorado",26,19.9,10.8,4.3,3.5,8.3,17.6,23
1981,"Connecticut",0.1,31.8,4.1,7.5,3.1,3.4,12.9,9.1
1981,"Delaware",4.7,10,1.7,1,1.5,2.8,3.7,7.4
1981,"District of Columbia",0.2,2.9,1.5,0.8,1.2,0.2,2,0.4
1981,"Florida",22.2,117.2,19,2.2,4.6,15.3,68.2,68.1
1981,"Georgia",51.8,44.6,17.3,5.8,4.1,15.4,38.6,49.8
1981,"Hawaii",0,16.4,0,0,0.2,1.8,8.9,5.5
1981,"Idaho",0.8,6.7,2.5,0.6,0.5,3.5,5.4,0
1981,"Illinois",74.5,84.5,56,26.8,15.1,48.8,55.3,69
1981,"Indiana",106.9,45.3,25.9,11.2,4.9,64.2,31.8,66
1981,"Iowa",23.7,21.1,13.5,6.1,3.3,12.6,15.7,20.6
1981,"Kansas",20,21.7,22.3,4.3,3,15.1,18,23.6
1981,"Kentucky",62.2,28.6,10.8,4.9,3.4,14.9,22.6,55.8
1981,"Louisiana",2.2,100.6,95.6,4.7,11.2,108.9,46.8,26.8
1981,"Maine",0.3,14.2,0.1,2.4,1.2,3.2,5.9,1.9
1981,"Maryland",19.5,33.9,9.3,7.1,2.7,13.9,23.2,15.8
1981,"Massachusetts",2.5,62.3,8.7,12.9,6.8,5.8,25.4,22.6
1981,"Michigan",70.7,56,43.1,23.9,11.3,37.2,42.2,55.2
1981,"Minnesota",22.9,29.9,14,7.9,4.3,11.2,22.3,21.1
1981,"Mississippi",7.7,24.2,13.2,2,2.7,9.8,17.7,12.9
